Date,Time,Activity,Confidence,Activity
11/25/2017,1:34 PM,Tilting,1,1
11/25/2017,1:35 PM,Tilting,1,1
11/25/2017,1:35 PM,Tilting,1,1
11/25/2017,1:36 PM,On foot,0.89,4
11/25/2017,1:36 PM,Walking,0.89,5
11/25/2017,1:36 PM,On foot,0.49,4
11/25/2017,1:36 PM,Walking,0.49,5
11/25/2017,1:36 PM,On foot,0.76,4
11/25/2017,1:36 PM,Walking,0.76,5
11/25/2017,1:36 PM,On foot,0.62,4
11/25/2017,1:36 PM,Walking,0.62,5
11/25/2017,1:37 PM,Tilting,1,1
11/25/2017,1:37 PM,On foot,0.44,4
11/25/2017,1:37 PM,Walking,0.44,5
11/25/2017,1:38 PM,In a vehicle,0.94,2
11/25/2017,1:38 PM,In a vehicle,0.76,2
11/25/2017,1:38 PM,In a vehicle,0.92,2
11/25/2017,1:38 PM,In a vehicle,0.86,2
11/25/2017,1:38 PM,In a vehicle,0.92,2
11/25/2017,1:38 PM,In a vehicle,0.96,2
11/25/2017,1:38 PM,In a vehicle,0.91,2
11/25/2017,1:38 PM,In a vehicle,0.9,2
11/25/2017,1:39 PM,In a vehicle,0.63,2
11/25/2017,1:39 PM,In a vehicle,0.96,2
11/25/2017,1:39 PM,In a vehicle,0.99,2
11/25/2017,1:39 PM,In a vehicle,0.99,2
11/25/2017,1:39 PM,In a vehicle,0.88,2
11/25/2017,1:39 PM,In a vehicle,0.95,2
11/25/2017,1:39 PM,In a vehicle,0.53,2
11/25/2017,1:39 PM,In a vehicle,0.9,2
11/25/2017,1:39 PM,In a vehicle,0.97,2
11/25/2017,1:40 PM,In a vehicle,0.85,2
11/25/2017,1:40 PM,In a vehicle,0.9,2
11/25/2017,1:40 PM,In a vehicle,0.86,2
11/25/2017,1:40 PM,In a vehicle,0.97,2
11/25/2017,1:40 PM,In a vehicle,0.92,2
11/25/2017,1:40 PM,In a vehicle,0.96,2
11/25/2017,1:40 PM,In a vehicle,0.99,2
11/25/2017,1:40 PM,In a vehicle,0.99,2
11/25/2017,1:40 PM,In a vehicle,0.99,2
11/25/2017,1:40 PM,In a vehicle,0.97,2
11/25/2017,1:40 PM,In a vehicle,0.97,2
11/25/2017,1:40 PM,In a vehicle,0.98,2
11/25/2017,1:40 PM,In a vehicle,0.97,2
11/25/2017,1:40 PM,In a vehicle,0.98,2
11/25/2017,1:41 PM,In a vehicle,0.91,2
11/25/2017,1:41 PM,In a vehicle,0.95,2
11/25/2017,1:41 PM,In a vehicle,0.97,2
11/25/2017,1:41 PM,In a vehicle,0.95,2
11/25/2017,1:41 PM,In a vehicle,0.96,2
11/25/2017,1:41 PM,In a vehicle,0.93,2
11/25/2017,1:41 PM,In a vehicle,0.95,2
11/25/2017,1:41 PM,In a vehicle,0.97,2
11/25/2017,1:41 PM,In a vehicle,0.97,2
11/25/2017,1:41 PM,In a vehicle,0.97,2
11/25/2017,1:41 PM,In a vehicle,0.99,2
11/25/2017,1:41 PM,In a vehicle,0.99,2
11/25/2017,1:41 PM,In a vehicle,0.97,2
11/25/2017,1:42 PM,In a vehicle,0.97,2
11/25/2017,1:42 PM,In a vehicle,0.99,2
11/25/2017,1:42 PM,In a vehicle,0.8,2
11/25/2017,1:42 PM,In a vehicle,0.95,2
11/25/2017,1:42 PM,In a vehicle,0.77,2
11/25/2017,1:42 PM,In a vehicle,0.52,2
11/25/2017,1:42 PM,In a vehicle,0.81,2
11/25/2017,1:42 PM,In a vehicle,0.96,2
11/25/2017,1:42 PM,In a vehicle,0.72,2
11/25/2017,1:42 PM,In a vehicle,0.76,2
11/25/2017,1:42 PM,In a vehicle,0.83,2
11/25/2017,1:43 PM,In a vehicle,0.89,2
11/25/2017,1:43 PM,In a vehicle,0.94,2
11/25/2017,1:43 PM,In a vehicle,0.85,2
11/25/2017,1:43 PM,In a vehicle,0.98,2
11/25/2017,1:43 PM,In a vehicle,0.92,2
11/25/2017,1:43 PM,In a vehicle,0.93,2
11/25/2017,1:43 PM,In a vehicle,0.89,2
11/25/2017,1:43 PM,In a vehicle,0.91,2
11/25/2017,1:43 PM,In a vehicle,0.96,2
11/25/2017,1:43 PM,In a vehicle,0.92,2
11/25/2017,1:43 PM,In a vehicle,0.91,2
11/25/2017,1:43 PM,In a vehicle,0.96,2
11/25/2017,1:43 PM,In a vehicle,0.95,2
11/25/2017,1:43 PM,In a vehicle,0.94,2
11/25/2017,1:44 PM,In a vehicle,0.89,2
11/25/2017,1:44 PM,In a vehicle,0.92,2
11/25/2017,1:44 PM,In a vehicle,0.95,2
11/25/2017,1:44 PM,In a vehicle,0.7,2
11/25/2017,1:44 PM,In a vehicle,0.92,2
11/25/2017,1:44 PM,In a vehicle,0.86,2
11/25/2017,1:44 PM,In a vehicle,0.92,2
11/25/2017,1:44 PM,In a vehicle,0.96,2
11/25/2017,1:44 PM,In a vehicle,0.98,2
11/25/2017,1:44 PM,In a vehicle,0.98,2
11/25/2017,1:44 PM,In a vehicle,0.96,2
11/25/2017,1:44 PM,In a vehicle,0.99,2
