Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Lable
5.07,7.76,3.233,-0.29411316,0.09277344,0.070617676,-55.875,-25.625,-17.75,upstairs
-0.509,9.449,-0.082,0.24424744,-0.38941956,-0.14996338,-25.4375,-30.8125,-7.8125,upstairs
0.553,10.119,2.037,-0.1955719,1.0951996,-0.5369873,-30.75,-32.5625,-0.9375,upstairs
1.864,9.512,-0.13,0.21829224,0.39778137,0.582016,-28,-29,-20,upstairs
0.372,9.11,3.004,-0.9056244,0.58377075,-0.083358765,-11.0625,-17.375,-33.9375,upstairs
1.663,8.674,2.066,1.3401489,-1.1355133,-0.19662476,-9.3125,-10.5625,-35.125,upstairs
2.041,9.77,-0.963,0.16630554,0.07424927,-0.13108826,-11.4375,-27,-23.5625,upstairs
0.027,6.343,5.626,-1.2032318,0.6340637,0.63905334,-3.375,1.75,-36.8125,upstairs
1.28,8.679,1.185,0.93759155,-1.1725311,-0.20359802,-11.4375,-17.1875,-30.4375,upstairs
0.357,10.364,0.018,0.019058228,-0.06555176,-0.35539246,-12.75,-27.0625,-22.125,upstairs
0.998,7.348,7.119,-0.3895111,0.47737122,0.5574341,-2.125,5.6875,-37.75,upstairs
1.266,9.746,0.721,0.5857239,-0.5267334,-0.016448975,-14.0625,-22.5625,-27.9375,upstairs
2.285,9.727,-0.456,0.026657104,-0.18740845,0.19714355,-17.5,-25.875,-23.3125,upstairs
1.189,9.727,0.697,-0.51197815,0.28033447,-0.25857544,-8.4375,-28.1875,-24.25,upstairs
-0.375,6.248,7.028,-0.1730957,0.63339233,0.57536316,9.5,2.4375,-38.0625,upstairs
2.118,10.143,-0.532,1.0122375,-0.39083862,-0.188797,4.875,-24.875,-28.875,upstairs
2.075,9.713,-0.547,0.24433899,0.44822693,-0.12049866,6.5,-34.3125,-19,upstairs
0.161,5.769,5.995,-1.3513184,1.0516052,0.46672058,27,-14.25,-25.5,upstairs
1.328,9.325,2.233,0.8466644,-0.7454376,0.031158447,24.6875,-27,-13.25,upstairs
1.84,9.708,-1.111,0.14083862,-0.010345459,-0.06312561,24.75,-32.625,5.1875,upstairs
1.122,8.952,4.281,-1.1159058,-0.021621704,0.04019165,22.75,-30,-4.0625,upstairs
1.677,9.009,3.343,1.0639954,-0.19450378,-0.19889832,17.1875,-31.1875,0.4375,upstairs
1.242,9.746,-0.121,0.3339386,0.24650574,0.1204834,16.3125,-29.875,17.25,upstairs
0.62,12.086,-1.073,0.20716858,0.046051025,-0.41131592,17.9375,-29.375,20.3125,upstairs
0.787,6.722,6.153,-1.1490021,0.11618042,0.16433716,15.1875,-33.0625,-8.75,upstairs
0.271,8.827,3.678,0.7433777,-0.1234436,-0.25619507,15.375,-37.1875,-1.6875,upstairs
2.213,9.631,-0.312,0.08706665,0.032989502,0.4276123,13.1875,-38.8125,17.5,upstairs
-0.423,9.363,0.357,-0.40351868,0.23736572,-0.5450592,21.25,-36.0625,18.25,upstairs
1.074,9.234,7.966,-0.34794617,0.08325195,0.31666565,16.1875,-37.125,-16.125,upstairs
1.495,8.736,2.142,1.0851746,-0.24673462,-0.08117676,17.125,-44.8125,0.25,upstairs
1.725,10.038,-0.451,0.089019775,-0.18962097,0.2630005,20,-45.75,12.75,upstairs
1.682,10.215,-1.164,0.047225952,0.01914978,-0.06565857,19.4375,-45.5625,19.625,upstairs
-0.021,6.927,5.617,-1.1969757,-0.30307007,0.07048035,20.0625,-43.125,-18.25,upstairs
1.036,8.416,5.664,0.49658203,-0.18605042,-0.2721405,18.9375,-45.125,-17.5625,upstairs
1.184,9.732,-0.087,0.25326538,0.45532227,0.003097534,19.5,-52.375,9.1875,upstairs
-0.289,10.206,0.639,-0.14195251,0.12498474,-0.6616974,23.3125,-52.375,6.3125,upstairs
1.046,9.569,2.678,0.24768066,-0.2855835,0.13043213,13.9375,-49.625,-18.8125,upstairs
6.669,9.162,2.008,-1.8754272,-1.8897247,-0.5867157,-36.3125,-40.8125,-23.9375,upstairs
0.152,10.014,0.491,0.45185852,0.82933044,-1.1289978,-8.75,-37.75,30.3125,standing
0.353,9.842,-0.149,0.11022949,0.029693604,-0.0473938,-11,-35.625,31.125,standing
0.463,9.76,0.347,-0.074020386,-0.2010498,0.12669373,-8.9375,-36.25,31.125,standing
-0.15,10.895,-0.408,-0.009658814,-0.048919678,0.025619507,-8.125,-35.5625,32.125,standing
0.472,9.847,0.458,0.019470215,-0.08106995,0.008239746,-6.875,-35.1875,32.5,standing
0.496,9.679,0.309,0.045166016,0.099746704,-0.035720825,-8.25,-35.75,31.25,standing
0.515,9.789,0.601,-0.005767822,0.008514404,0.005935669,-8.8125,-36.375,30.3125,standing
0.61,9.751,0.716,-0.014068604,-0.0050354,-0.014022827,-9.9375,-37.625,30,standing
0.171,9.784,1.257,-0.13421631,-0.058242798,-0.053207397,-8.8125,-37.6875,28.1875,standing
0.123,9.78,1.242,0.06939697,0.11155701,0.018493652,-6.875,-39.125,27.4375,standing
0.137,9.856,0.304,0.040924072,0.12294006,-0.011734009,-8,-35.8125,31.3125,standing
0.266,9.847,0.095,0.04019165,-0.02760315,0.025665283,-8.5625,-34.75,32.625,standing
0.29,9.818,0.285,-0.02027893,-0.01121521,-0.005935669,-8.375,-35.8125,32,standing
0.377,9.693,0.162,0.048294067,0.12234497,-0.030578613,-8.25,-35.625,31.9375,standing
0.467,9.78,0.223,0.039535522,0.048171997,-0.00126648,-9,-35.125,31.6875,standing
0.439,9.847,0.391,-0.028900146,0.028701782,-0.010375977,-9.375,-35.375,31.75,standing
0.467,9.77,0.491,-0.03353882,-0.008529663,0.007781982,-9.625,-36.25,31.375,standing
0.4,9.808,0.352,0.003738403,0.001083374,-0.002334595,-9.9375,-35.5625,31.5625,standing
0.42,9.789,0.395,0.008560181,-0.022155762,1.53E-05,-9.375,-35.875,31.375,standing
0.391,9.794,0.386,0.01939392,0.09593201,-0.02154541,-9.375,-36.0625,31.1875,standing
0.496,9.842,0.501,-0.001678467,0.004699707,-0.004394531,-9.1875,-36.0625,31.125,standing
0.161,9.832,0.08,-0.007156372,-0.28460693,0.061569214,-8.3125,-36.4375,31.5,standing
0.4,9.756,0.186,0.11810303,0.19828796,-0.00642395,-7.25,-36.375,31.0625,standing
0.453,9.808,0.419,0.005737305,-0.030715942,0.040649414,-8.9375,-35.875,31.0625,standing
0.29,10.124,1.616,-0.40092468,-0.32839966,0.12184143,-8.5625,-39.9375,27.5,standing
0.152,9.679,1.214,0.01159668,-0.09977722,-0.026855469,-8.5625,-40.125,26.9375,standing
0.869,9.684,1.731,-0.09538269,-0.39564514,0.07336426,-6.875,-40.8125,26.6875,standing
0.735,9.67,1.601,0.03414917,0.015853882,-0.022537231,-6.875,-41.5625,25.875,standing
1.333,9.698,1.573,0.041030884,0.13557434,-0.014923096,-5.3125,-40.9375,27.3125,standing
